,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
77215,2391,South Africa,Australia,1,93,7,6.2,Cape Town,146,30,28.0
90200,2539,Sri Lanka,Sri Lanka,1,102,7,7.95,Chittagong,165,43,32.0
78059,2400,New Zealand,South Africa,1,95,9,8.14,Hamilton,173,50,32.0
80019,2421,India,India,4,33,9,9.9,Colombo,170,100,31.0
87523,2502,Australia,England,6,48,10,7.58,Sydney,195,82,35.0
73969,2356,Pakistan,Pakistan,4,61,9,8.71,Birmingham,162,78,35.0
59361,2220,South Africa,New Zealand,2,15,10,9.0,Johannesburg,133,110,34.0
59369,2220,South Africa,New Zealand,1,27,10,9.53,Johannesburg,133,103,34.0
39877,981,Bangladesh,New Zealand,4,12,10,9.0,Christchurch,137,112,34.0
15497,210,India,Bangladesh,1,22,9,5.5,Delhi,148,96,35.0
85423,2478,Pakistan,Pakistan,4,12,10,12.0,Dubai,151,114,36.0
27581,481,Australia,Sri Lanka,1,144,6,7.78,Sydney,164,9,42.0
64876,2271,Pakistan,Bangladesh,2,83,8,9.4,Karachi,203,67,45.0
69942,2319,Australia,Pakistan,2,91,4,6.66,Dubai,108,38,46.0
83007,2456,West Indies,West Indies,0,45,9,6.92,Lauderhill,209,81,50.0
43340,1056,England,New Zealand,1,95,8,7.81,Manchester,198,47,57.0
72808,2346,New Zealand,New Zealand,0,141,4,7.55,St Lucia,149,8,58.0
20686,404,Pakistan,New Zealand,1,54,5,4.76,Auckland,153,52,62.0
95732,2590,Sri Lanka,Pakistan,1,136,5,7.7,Colombo,172,14,59.0
28737,517,Sri Lanka,South Africa,0,38,8,7.35,Colombo,103,89,58.0
25304,448,England,West Indies,0,91,9,8.15,Bridgetown,193,53,57.0
25251,448,England,West Indies,0,12,9,5.14,Bridgetown,193,106,54.0
29399,522,New Zealand,Bangladesh,0,91,2,4.83,Dhaka,93,7,54.0
25328,448,England,West Indies,1,110,7,7.59,Bridgetown,193,33,58.0
30422,565,Sri Lanka,Australia,0,88,7,8.0,Dubai,154,54,54.0
30588,566,West Indies,Bangladesh,2,103,6,6.06,Sharjah,142,18,54.0
61872,2244,Bangladesh,Bangladesh,1,39,10,5.57,Cape Town,123,78,53.0
25116,447,West Indies,England,0,2,10,3.0,Bridgetown,224,116,47.0
32129,605,India,England,0,120,7,10.75,Southampton,198,53,47.0
88525,2511,Pakistan,South Africa,1,9,7,3.6,Dubai,98,105,43.0
28588,516,South Africa,Sri Lanka,0,4,10,4.8,Colombo,163,115,43.0
59727,2223,Australia,South Africa,1,1,10,1.2,Brisbane,209,115,46.0
90879,2546,South Africa,South Africa,0,3,9,3.0,Chittagong,145,114,45.0
